Loja;Nome Loja;Regional;GGL;2024;POS;PDV;PDV OB;RET;RET OB
68;SH Park Barigui;PR;GGL 1;66.296.248;33;8;2;8;1
77;SH Campo Grande;CO II;GGL 2;65.934.823;34;9;0;8;1
96;SH Iguatemi Maceio;NE II;GGL 3;65.733.067;35;6;0;15;0
66;SH Leste Aricanduva;SP I;GGL 2;65.403.329;36;16;0;13;2
172;SH da Ilha;NE III;GGL 3;62.382.025;37;9;1;9;5
107;SH Bourbon Pompeia;SP II;GGL 2;62.322.241;38;8;0;12;1
6;SH Joinville;SC;GGL 1;62.201.534;39;8;0;9;0
33;SH Analia Franco;SP I;GGL 2;61.496.318;40;9;2;8;0
537;Sh Ibirapuera;SP III;GGL 2;60.920.310;41;8;0;7;0
88;SH Tijuca;RJ II;GGL 3;60.841.931;42;8;0;10;1
1;LJ Otavio Rocha;RS I;GGL 1;60.625.797;43;15;0;19;3
271;SH Teresina;NE III;GGL 3;60.593.893;44;8;0;9;1
69;SH Norte;RJ I;GGL 3;60.518.711;45;15;0;8;1
89;SH Iguatemi Bahia;NE I;GGL 3;60.368.638;46;11;0;10;3
146;SH Manauara;NO;GGL 3;58.743.033;47;10;9;7;0
41;SH Sider;RJ I;GGL 3;58.635.499;48;14;0;11;3
12;SH Iguatemi Caxias;RS II;GGL 1;58.411.099;49;10;2;12;0
153;SH Boulevard BH;MG;GGL 2;57.240.465;50;9;1;10;2
73;SH Pantanal;CO I;GGL 2;56.918.650;51;7;0;10;1
60;SH Itaguacu;SC;GGL 1;54.385.174;52;9;0;8;1
30;SH Centervale;SP VI;GGL 1;53.534.994;53;8;2;11;1
58;SH Center Uberlandia;CO II;GGL 2;52.438.029;54;8;2;10;1
135;SH Bella Citta;RS III;GGL 1;52.360.640;55;11;1;10;3
360;SH Estacao Cuiaba;CO I;GGL 2;51.601.741;56;6;0;8;0
244;SH Grand Plaza;SP III;GGL 2;51.326.662;57;12;1;10;2
323;LJ Largo do Machado;RJ II;GGL 3;51.311.190;58;7;0;8;1
138;SH Uniao Osasco;SP II;GGL 2;51.117.636;59;11;3;12;0
291;SH Metro Itaquera;SP I;GGL 2;50.312.567;60;12;0;11;0
91;SH Iguatemi Flor;SC;GGL 1;49.634.274;61;9;0;7;1
249;SH Patio Paulista;SP II;GGL 2;49.570.351;62;8;0;10;0
141;SH Midway;NE II;GGL 3;48.537.481;63;8;3;8;1
42;SH Mueller;PR;GGL 1;48.500.069;64;5;0;6;1
140;SH Bourbon Ipiranga;RS I;GGL 1;48.494.496;65;7;0;9;0
200;SH Cataratas JL;PR;GGL 1;48.023.731;66;4;0;7;0
48;SH Miramar;SP VI;GGL 1;47.798.209;67;10;2;12;1
35;SH Light;SP I;GGL 2;47.709.810;68;12;0;10;2
128;SH Goiania;CO II;GGL 2;47.614.071;69;7;3;8;1
70;SH Itau Power;MG;GGL 2;47.501.930;70;8;2;11;0
86;SH Maxi Jundiai;SP IV;GGL 1;46.780.017;71;9;4;8;1
67;SH Vitoria;NE I;GGL 3;46.214.343;72;9;1;6;0
29;SH Intern Guarulhos;SP I;GGL 2;45.881.270;73;9;5;6;0
162;SH Tambore;SP II;GGL 2;45.465.962;74;7;1;8;0
100;SH Amazonas;NO;GGL 3;45.434.568;75;8;3;9;0
11;LJ Santa Maria;RS III;GGL 1;45.224.071;76;11;0;11;0
76;SH Londrina;PR;GGL 1;44.863.772;77;7;1;8;1
101;SH Minas Shopping;MG;GGL 2;44.790.052;78;8;1;10;2
245;SH Park Campo Grande;RJ I;GGL 3;43.971.772;79;12;0;10;0
113;SH Bauru;SP VII;GGL 2;43.394.302;80;8;0;9;2
112;SH Brasilia;CO I;GGL 2;43.236.614;81;6;1;8;0
61;SH Del Rey;MG;GGL 2;42.705.106;82;5;0;7;2
366;LJ Domingos de Moraes;SP III;GGL 2;42.617.513;83;9;0;10;0
55;SH ABC;SP III;GGL 2;42.179.006;84;9;1;8;0
18;SH Neumarkt;SC;GGL 1;42.019.627;85;10;1;7;3
92;SH Jardim Sul;SP III;GGL 2;41.985.505;86;8;1;8;1
103;SH Piracicaba;SP IV;GGL 1;41.829.686;87;5;0;7;1
176;SH Nova America;RJ I;GGL 3;41.375.503;88;9;0;9;2
295;SH Americas;RJ I;GGL 3;41.197.316;89;5;0;6;1
81;SH Guararapes;NE II;GGL 3;40.817.603;90;10;3;10;0
189;SH Park Sao Caetano;SP III;GGL 2;40.805.963;91;7;1;8;6
191;SH Mooca;SP I;GGL 2;40.780.395;92;6;0;8;4
120;SH Aspen Maringa;PR;GGL 1;40.678.946;93;5;0;8;0
427;SH Jockey Plaza Shopping Center;PR;GGL 1;40.675.985;94;7;0;11;0
278;SH Parque Sh Maceio;NE II;GGL 3;40.411.423;95;7;2;7;2
132;SH Porto Velho;NO;GGL 3;39.953.731;96;8;6;7;0
259;SH Pelotas;RS I;GGL 1;39.750.830;97;8;2;11;5
52;SH Plaza Sul;SP III;GGL 2;39.547.483;98;8;1;9;4
105;SH Jardins;NE II;GGL 3;39.542.132;99;9;1;12;0
330;SH Riomar Fortaleza;NE III;GGL 3;39.491.598;100;5;1;7;0
404;SH Litoral Plaza;SP VI;GGL 1;39.226.482;101;7;0;8;0
338;SH Nova Iguacu;RJ II;GGL 3;39.194.664;102;8;1;9;0
177;SH Patio Chapeco;SC;GGL 1;39.102.333;103;8;0;9;2
36;SH Ilha Plaza;RJ I;GGL 3;38.826.764;104;6;0;8;0
312;SH Vila Velha;NE I;GGL 3;38.298.513;105;6;0;7;0
270;SH Mogi;SP VI;GGL 1;38.111.768;106;7;1;7;0
139;SH Suzano;SP I;GGL 2;38.026.888;107;8;0;7;1
262;SH Tiete Plaza;SP I;GGL 2;37.999.462;108;9;5;7;5
98;SH SP Market;SP III;GGL 2;37.896.963;109;8;2;8;2
127;SH Buriti;CO II;GGL 2;37.808.401;110;7;0;10;2
5;LJ Pelotas;RS I;GGL 1;37.560.394;111;7;0;11;2
122;SH Sao Jose;PR;GGL 1;37.447.510;112;3;0;5;0
170;SH Bourbon Wallig;RS II;GGL 1;37.394.760;113;8;0;7;0
90;SH Leblon;RJ II;GGL 3;37.125.266;114;4;0;3;0
453;SH Conjunto Nacional Brasilia;CO I;GGL 2;36.800.777;115;6;0;11;0
432;LJ de Gramado;RS II;GGL 1;36.573.845;116;5;0;7;0
233;SH Continente Park;SC;GGL 1;36.542.838;117;8;0;5;0
111;SH Independencia;RJ II;GGL 3;36.388.164;118;7;1;8;0
57;SH Interlagos;SP III;GGL 2;36.344.893;119;9;2;9;0
45;LJ Campinas Centro;SP IV;GGL 1;36.133.870;120;7;1;13;4
419;LJ Capao da Canoa;RS I;GGL 1;35.794.279;121;5;1;6;0
168;SH Capim Dourado;CO I;GGL 2;35.285.272;122;5;0;9;3
142;SH Boulevard Brasilia;CO I;GGL 2;35.130.751;123;6;2;7;1
163;SH Joinville Garten;SC;GGL 1;35.008.500;124;7;1;7;1
79;SH Boub Sao Leopoldo;RS II;GGL 1;34.977.847;125;7;3;7;0
117;SH JL Cascavel;PR;GGL 1;34.936.685;126;6;1;9;1
131;SH Taubate;SP VI;GGL 1;34.667.890;127;6;0;12;3
297;SH Lajeado;RS III;GGL 1;34.415.053;128;5;1;6;2
25;SH Canoas;RS II;GGL 1;34.262.127;129;8;1;9;1
277;SH Passeio das Aguas;CO II;GGL 2;34.220.538;130;7;3;8;6
196;LJ Copacabana Rio de Janeiro;RJ II;GGL 3;34.162.243;131;5;0;12;0
256;SH Metropolitano Barra;RJ I;GGL 3;34.048.395;132;12;3;8;4
121;SH Taboao;SP III;GGL 2;33.937.960;133;8;1;6;2
437;SH GV;MG;GGL 2;33.771.908;134;4;0;9;0
307;SH Sao Luis;NE III;GGL 3;33.289.023;135;6;0;8;0
136;SH Campinas;SP IV;GGL 1;33.288.980;136;5;1;8;0
326;SH Bosque Grao Para;NO;GGL 3;32.943.755;137;4;0;7;0
328;SH Rio Poty;NE III;GGL 3;32.928.118;138;6;3;10;0
93;SH Farol;SC;GGL 1;32.737.564;139;7;0;10;0
285;SH JK;CO I;GGL 2;32.688.610;140;7;4;14;10
182;SH Riomar Aracaju;NE II;GGL 3;32.673.846;141;6;0;6;0
149;SH Novo Shopping;SP V;GGL 2;32.581.117;142;3;0;6;1
417;SH Passo Fundo Shopping;RS III;GGL 1;32.504.105;143;5;0;8;0
491;SH Park Jacarepagua;RJ I;GGL 3;32.301.730;144;4;0;5;0
133;SH Metro-Tucuruvi;SP I;GGL 2;31.704.495;145;9;1;10;0
116;SH Barra Salvador;NE I;GGL 3;31.649.695;146;8;1;8;0
195;SH Palladium Ponta Grossa;PR;GGL 1;31.572.899;147;5;0;9;2
129;SH Brasil Park;CO II;GGL 2;31.485.287;148;7;4;9;1
479;LJ de Tramandai;RS I;GGL 1;31.445.490;149;8;0;10;0
62;SH Patio Brasil;CO I;GGL 2;31.183.861;150;5;0;8;0
322;SH Terraco;CO I;GGL 2;31.069.460;151;5;0;13;0
430;SH Rondon Plaza;CO I;GGL 2;30.536.235;152;6;0;8;0
148;SH Franca;SP V;GGL 2;30.506.427;153;5;1;5;2
293;SH Carioca;RJ I;GGL 3;30.458.200;154;6;1;8;0
190;SH Nacoes Bauru;SP VII;GGL 2;30.124.913;155;9;3;7;1
118;SH Prataviera;RS II;GGL 1;30.034.556;156;6;1;16;1
300;SH Natal;NE II;GGL 3;29.589.005;157;5;0;8;2
185;SH Vale Sul;SP VI;GGL 1;29.342.218;158;7;0;11;4
413;SH Plaza Macae;RJ II;GGL 3;29.313.639;159;6;0;5;0
408;SH Park Sul;RJ I;GGL 3;29.260.531;160;6;0;8;0
305;SH Praca Nova Aracatuba;SP VII;GGL 2;29.237.894;161;5;2;5;0
489;SH Parque da Bahia;NE I;GGL 3;28.771.645;162;5;0;7;0
173;SH Norte Sul Plaza;CO II;GGL 2;28.656.856;163;5;2;11;5
83;SH Estacao;PR;GGL 1;28.605.714;164;6;0;6;0
455;SH Avenida Center Dourados;CO II;GGL 2;28.217.214;165;4;0;7;0
356;SH Partage Campina Grande;NE II;GGL 3;28.112.527;166;5;2;11;0
292;SH Itajai;SC;GGL 1;28.083.158;167;5;0;6;1
287;SH Mangabeira;NE II;GGL 3;28.044.475;168;5;0;8;0
166;SH Estacao BH;MG;GGL 2;28.031.832;169;5;1;10;1
361;SH Praca Nova Santa Maria;RS III;GGL 1;28.021.884;170;7;0;6;0
193;SH Boulevard Feira;NE I;GGL 3;27.872.118;171;4;1;9;2
351;SH Patio Belem;NO;GGL 3;27.859.658;172;4;0;7;0
362;SH Tivoli;SP IV;GGL 1;27.855.057;173;5;2;7;0
161;SH Iguatemi Brasilia;CO I;GGL 2;27.621.053;174;5;1;7;1
157;SH Polo Indaiatuba;SP IV;GGL 1;27.424.409;175;4;0;7;3
383;SH Braganca Garden;SP IV;GGL 1;27.309.389;176;6;4;8;0
511;Sh Vesta;RS I;GGL 1;27.191.756;177;4;0;6;0
115;SH Grande Rio;RJ I;GGL 3;27.037.634;178;6;1;12;3
9;SH Curitiba;PR;GGL 1;26.946.801;179;6;0;7;1
22;SH Continental;SP II;GGL 2;26.875.269;180;7;1;6;1
109;SH Santana;SP I;GGL 2;26.771.168;181;5;1;11;2
241;SH Maua Plaza;SP III;GGL 2;26.644.263;182;6;0;7;0
251;SH Total;RS I;GGL 1;26.574.678;183;7;2;7;0
403;SH Iguatemi S. J. Rio Preto;SP VII;GGL 2;26.280.928;184;5;0;7;0
258;SH Floripa;SC;GGL 1;26.279.587;185;5;0;8;0
123;SH Boa Vista;NE II;GGL 3;26.226.704;186;10;3;9;0
180;SH Boulevard Campos;RJ II;GGL 3;26.193.143;187;5;0;7;3
257;SH Prudenshopping;SP VII;GGL 2;26.155.006;188;7;0;7;4
457;SH Valinhos;SP IV;GGL 1;26.075.114;189;5;0;8;0
178;SH Uberaba;CO II;GGL 2;25.696.465;190;7;1;8;2
21;SH Metropole;SP III;GGL 2;25.695.175;191;5;1;8;2
354;SH Nacoes Criciuma;SC;GGL 1;25.596.423;192;4;3;9;0
288;SH Patio Maceio;NE II;GGL 3;25.590.217;193;8;1;11;1
243;SH Tacaruna;NE II;GGL 3;25.516.984;194;6;0;8;0
187;SH Via Verde;NO;GGL 3;25.436.148;195;8;2;9;0
279;SH Gravatai;RS I;GGL 1;25.282.320;196;10;1;9;3
78;SH Super Osasco;SP II;GGL 2;25.215.990;197;6;2;8;1
481;LJ Oscar Freire;SP II;GGL 2;25.061.934;198;6;0;7;0
250;SH Sao Bernardo Plaza;SP III;GGL 2;25.042.244;199;5;1;11;2
237;SH Jundiai;SP IV;GGL 1;25.039.809;200;7;0;7;2
313;SH Parque Shopping Maia;SP I;GGL 2;25.025.647;201;8;4;9;0
402;SH Patteo Olinda Shopping;NE II;GGL 3;24.916.611;202;4;0;11;0
513;Sh Serramar;SP VI;GGL 1;24.799.303;203;5;0;7;0
317;SH Jaragua Araraquara;SP V;GGL 2;24.777.362;204;7;0;5;0
528;SH MACAPA;NO;GGL 3;24.627.152;205;4;0;6;0
186;SH North Caruaru;NE II;GGL 3;24.518.547;206;9;1;8;3
458;LJ Floripa Centro;SC;GGL 1;24.505.258;207;10;0;8;0
174;SH Montes Claros;MG;GGL 2;24.466.343;208;7;0;7;2
382;SH Teresopolis;RJ II;GGL 3;24.328.067;209;5;2;6;0
260;SH Metropolitan Garden;MG;GGL 2;24.054.438;210;6;3;7;2
276;SH Ig Sao Carlos;SP V;GGL 2;23.878.072;211;7;2;7;0
405;SH Metropole Ananindeua;NO;GGL 3;23.760.706;212;5;0;10;0
158;SH Granja Vianna;SP II;GGL 2;23.742.069;213;8;1;7;4
363;SH Via Catarina;SC;GGL 1;23.648.547;214;5;1;6;0
381;SH Piratas;RJ I;GGL 3;23.645.040;215;4;0;10;0
476;Sh Catuai Maringa;PR;GGL 1;23.573.006;216;6;0;7;0
286;SH Rio Anil;NE III;GGL 3;23.399.781;217;5;0;6;2
433;LJ Santa Cruz do Sul;RS III;GGL 1;23.324.903;218;5;1;9;0
231;SH Bela Vista;NE I;GGL 3;23.215.765;219;7;0;9;3
28;LJ Curitiba XV;PR;GGL 1;22.837.156;220;6;0;9;0
434;SH Butanta;SP III;GGL 2;22.683.004;221;4;0;6;0
236;SH Parque Belem;NO;GGL 3;22.557.732;222;7;3;9;2
490;SH Diamond;MG;GGL 2;22.514.206;223;5;0;6;0
544;LJ de Canela;RS II;GGL 1;22.455.922;224;4;0;6;0
443;SH Iguatemi JK;SP III;GGL 2;22.389.309;225;3;0;6;0
483;SH Jau Shopping;SP VII;GGL 2;22.351.726;226;6;0;6;0
38;SH Madureira;RJ I;GGL 3;22.150.220;227;13;0;9;0
65;SH Iguatemi Rio;RJ II;GGL 3;22.048.389;228;7;0;7;0
495;SH Sul Itapemerim;NE I;GGL 3;22.015.934;229;5;0;9;0
85;SH North Fortaleza;NE III;GGL 3;22.010.449;230;8;3;6;3
380;SH Via Cafe Garden;SP V;GGL 2;22.008.646;231;7;4;7;0
484;SH Pocos de Caldas;SP V;GGL 2;21.949.118;232;5;0;9;0
374;SH Jequitiba;NE I;GGL 3;21.875.954;233;6;0;7;0
466;SH Cadima Shopping;RJ II;GGL 3;21.742.408;234;6;0;8;0
522;SH Village Mall;RJ I;GGL 3;21.741.722;235;4;0;4;0
125;SH Caxias;RJ II;GGL 3;21.698.326;236;8;2;9;0
398;SH Palladium Foz do Iguacu;PR;GGL 1;21.577.245;237;4;2;7;0
197;SH Mestre Alvaro;NE I;GGL 3;21.517.001;238;10;0;9;3
309;SH West Mossoro;NE II;GGL 3;21.371.936;239;6;0;7;0
401;SH Jaragua do Sul Park;SC;GGL 1;21.289.743;240;6;0;6;0
143;SH Paralela;NE I;GGL 3;21.271.777;241;7;0;9;4
358;SH Patio Arapiraca Garden;NE II;GGL 3;21.263.427;242;6;2;9;0
273;SH Parangaba;NE III;GGL 3;21.161.533;243;8;3;9;4
442;SH Center Penha;SP I;GGL 2;21.108.284;244;4;0;8;0
155;SH Royal Plaza;RS III;GGL 1;21.096.110;245;5;0;9;1
332;SH Jardim Norte;RJ II;GGL 3;21.014.845;246;7;1;9;0
171;SH Norte Salvador;NE I;GGL 3;20.969.516;247;11;0;9;1
239;SH Parque das Bandeiras;SP IV;GGL 1;20.926.619;248;5;1;8;4
426;SH Patio Savassi;MG;GGL 2;20.768.728;249;4;0;7;0
557;Sh Campo Limpo;SP III;GGL 2;20.754.539;250;4;0;7;0
252;SH Ponta Negra;NO;GGL 3;20.715.221;251;6;3;7;1
468;SH Ourinhos;SP VII;GGL 2;20.558.928;252;4;0;6;0
327;SH Sul Valparaiso;CO I;GGL 2;20.531.897;253;8;4;9;0
167;SH Parque Barueri;SP II;GGL 2;20.471.502;254;6;0;9;2
194;LJ Centro de Marilia;SP VII;GGL 2;20.454.169;255;5;0;6;2
82;SH do Vale;RS I;GGL 1;20.422.375;256;5;0;7;0
303;SH Vale do Aco;MG;GGL 2;20.404.704;257;5;0;9;0
480;SH Iguatemi Ribeirao Preto;SP V;GGL 2;20.336.911;258;5;0;7;0
283;SH Paque Sh Sulacap;RJ I;GGL 3;20.282.098;259;9;0;8;1
147;SH Praca da Moca;SP III;GGL 2;20.222.977;260;11;0;9;2
506;SH Piazza Salton;RS II;GGL 1;20.220.342;261;4;0;6;0
339;SH Paulista North Way;NE II;GGL 3;20.010.587;262;9;4;8;0
515;SH Plaza Casa Forte;NE II;GGL 3;19.915.606;263;4;0;7;0
315;SH Patio Roraima;NO;GGL 3;19.878.195;264;4;0;6;0
451;SH Center Castanheira;NO;GGL 3;19.836.147;265;8;0;12;0
394;SH Sinop;CO I;GGL 2;19.709.854;266;3;0;6;0
486;SH Bangu;RJ I;GGL 3;19.596.796;267;6;0;11;0
280;SH Serrasul;SP V;GGL 2;19.549.059;268;5;0;6;1
353;SH Buriti Guara;SP VI;GGL 1;19.530.443;269;6;4;8;0
387;SH Jua Garden;NE I;GGL 3;19.509.986;270;6;3;9;0
485;LJ Santo Angelo;RS III;GGL 1;19.504.141;271;6;0;9;0
267;SH Boulevard Londrina;PR;GGL 1;19.480.249;272;6;1;5;0
373;SH Recreio Center;RJ I;GGL 3;19.409.454;273;7;0;5;0
449;SH Porto Alegre Centerlar;RS II;GGL 1;19.394.157;274;5;0;6;0
355;SH Colinas;SP VI;GGL 1;19.366.990;275;5;0;7;6
472;SH Imperial;NE III;GGL 3;19.306.163;276;6;0;10;0
538;Sh Center Marica;RJ II;GGL 3;19.265.944;277;4;0;7;0
151;LJ Erechim;RS III;GGL 1;19.263.641;278;4;1;7;0
487;SH Pato Branco Shopping;PR;GGL 1;19.139.157;279;4;0;5;0
552;SH Villa Lobos;SP II;GGL 2;18.951.733;280;3;0;6;0
509;Sh Park Sorriso;CO I;GGL 2;18.762.482;281;4;0;7;0
400;SH Sumauma Park Shopping;NO;GGL 3;18.714.983;282;7;0;9;1
385;SH DF Plaza;CO I;GGL 2;18.545.041;283;5;0;7;1
51;SH West Plaza;SP II;GGL 2;18.521.451;284;4;0;6;0
316;LJ Sete de Setembro;RJ I;GGL 3;18.437.924;285;5;0;6;0
154;SH Patio Limeira;SP IV;GGL 1;18.354.340;286;6;2;7;4
301;SH Montserrat;NE I;GGL 3;18.333.806;287;3;0;7;0
498;Sh Cariri Garden;NE III;GGL 3;18.296.410;288;5;0;10;0
318;SH Rio Claro;SP V;GGL 2;18.249.101;289;4;0;7;2
169;SH Boulevard S. Goncalo;RJ II;GGL 3;18.203.786;290;6;1;7;0
188;SH Jardim das Americas;PR;GGL 1;18.124.034;291;5;0;4;0
269;SH Patio Maraba;NO;GGL 3;18.106.288;292;7;0;8;2
376;Loja de Uruguaiana;RS III;GGL 1;17.993.241;293;5;2;7;0
438;SH Partage Parauapebas;NO;GGL 3;17.992.283;294;4;0;8;0
474;Sh Itape Shopping;SP II;GGL 2;17.908.799;295;5;0;10;0
340;SH Cidade;MG;GGL 2;17.899.708;296;4;0;7;0
282;SH North Shopping Joquei;NE III;GGL 3;17.890.501;297;8;2;7;4
3;CC Joao Pessoa;RS I;GGL 1;17.862.833;298;5;1;10;2
389;SH Morumbi Town;SP III;GGL 2;17.704.437;299;9;5;7;0
543;Sh Patteo Urupema;SP VI;GGL 1;17.691.584;300;3;0;7;0
7;LJ Rio Grande;RS I;GGL 1;17.543.080;301;7;2;5;0
549;SH Patio Petropolis;RJ II;GGL 3;17.533.249;302;5;0;5;0
306;SH Buriti Rio Verde;CO II;GGL 2;17.501.618;303;5;3;9;1
377;SH Parkcity Sumare;SP IV;GGL 1;17.493.144;304;4;0;8;0
281;SH Contagem;MG;GGL 2;17.464.206;305;10;8;10;5
298;SH Partage Shopping Rio Grande;RS I;GGL 1;17.439.205;306;7;1;8;0
573;Sh Anhanguera;SP II;GGL 2;17.379.561;307;4;0;6;0
454;SH Jatahy;CO II;GGL 2;17.326.323;308;4;0;9;0
95;SH Via Parque;RJ I;GGL 3;17.252.604;309;4;0;10;0
321;SH Golden Calhau;NE III;GGL 3;17.237.289;310;4;0;8;0
436;SH Grand Messejana;NE III;GGL 3;17.201.018;311;7;3;6;0
8;CC Canoas;RS II;GGL 1;17.170.264;312;7;0;7;1
441;SH Iguatemi Alphaville;SP II;GGL 2;17.113.002;313;6;0;8;0
531;Lj de Assis;SP VII;GGL 2;17.104.130;314;4;0;7;0
496;LJ de Ijui;RS III;GGL 1;17.021.962;315;4;0;5;0
473;Sh Plaza Shopping Itu;SP IV;GGL 1;16.995.282;316;6;0;4;0
198;SH Conquista Sul;NE I;GGL 3;16.993.877;317;6;0;10;3
156;SH Blumenau Norte;SC;GGL 1;16.806.925;318;7;0;10;4
179;SH Uberlandia;CO II;GGL 2;16.731.063;319;7;2;9;2
150;SH Raposo;SP II;GGL 2;16.720.523;320;5;1;7;2
510;Sh Buriti Mogi Guacu;SP V;GGL 2;16.450.903;321;4;0;6;0
130;SH Praia da Costa;NE I;GGL 3;16.399.469;322;6;0;8;0
108;SH Santa Ursula;SP V;GGL 2;16.344.392;323;7;0;6;2
371;SH Via Barreiro;MG;GGL 2;16.294.532;324;7;0;8;0
452;SH Sete Lagoas;MG;GGL 2;16.282.895;325;5;0;8;0
561;SH Garden Catanduva;SP VII;GGL 2;16.261.408;326;4;0;4;0
145;SH West Campo Grande;RJ I;GGL 3;16.099.603;327;7;0;7;0
439;SH Jardim Pamplona;SP II;GGL 2;16.000.342;328;4;0;7;0
261;SH Botucatu;SP VII;GGL 2;15.989.450;329;6;1;6;0
275;SH Patio Ciane;SP II;GGL 2;15.977.619;330;6;6;10;4
137;SH San Pelegrino;RS II;GGL 1;15.945.895;331;8;3;8;0
386;North Shopping Barretos;SP VII;GGL 2;15.753.258;332;7;5;8;0
516;SH Cacoal;NO;GGL 3;15.677.898;333;3;0;4;0
448;SH Cidade dos Lagos;PR;GGL 1;15.622.225;334;5;0;9;0
345;SH Top Shopping;RJ II;GGL 3;15.529.387;335;7;0;9;0
539;LJ Santa Rosa;RS III;GGL 1;15.459.153;336;4;0;6;0
342;SH Boulevard Vila Velha;NE I;GGL 3;15.401.701;337;5;1;8;0
97;SH Bougainville;CO II;GGL 2;15.398.018;338;4;0;4;0
514;LJ de Bage;RS I;GGL 1;15.282.458;339;4;0;7;0
390;SH Riomar Kennedy;NE III;GGL 3;15.205.781;340;9;5;9;0
308;SH Moxuara;NE I;GGL 3;15.054.925;341;4;1;9;0
450;SH Boulevard Vitoria da Conquista;NE I;GGL 3;14.782.544;342;5;0;10;0
290;SH Golden Square;SP III;GGL 2;14.702.792;343;9;6;8;3
475;Sh Patio Divinopolis;MG;GGL 2;14.640.265;344;4;0;9;0
199;SH Vila Olimpia;SP III;GGL 2;14.573.548;345;6;0;8;1
333;SH Plaza Shopping Avenida;SP VII;GGL 2;14.562.210;346;4;1;8;0
523;LJ DE ARARAS;SP V;GGL 2;14.559.089;347;5;0;5;0
329;SH Varzea Grande;CO I;GGL 2;14.505.724;348;6;4;9;0
440;LJ de Guaiba;RS I;GGL 1;14.254.746;349;4;1;7;0
521;Shopping Catalao;CO II;GGL 2;14.246.237;350;4;0;5;0
576;Sh Videira;SC;GGL 1;14.235.391;351;4;0;7;0
488;SH Tres Lagoas;SP VII;GGL 2;14.061.585;352;5;0;9;0
583;Sh Oriundi;NE I;GGL 3;13.955.222;353;4;0;6;0
299;SH Lages Garden;SC;GGL 1;13.920.283;354;6;0;8;0
494;SH Patio Norte;NE III;GGL 3;13.887.965;355;5;0;11;0
447;SH Parnaiba;NE III;GGL 3;13.724.620;356;5;0;10;0
527;Sh Aeroporto Guarulhos;SP I;GGL 2;13.688.202;357;1;0;8;0
502;Sh Tangara Center;CO I;GGL 2;13.618.586;358;3;0;8;0
467;SH Sobral;NE III;GGL 3;13.582.418;359;5;0;7;0
542;Lj Montenegro;RS II;GGL 1;13.510.476;360;3;0;6;0
230;SH Jacarei;SP VI;GGL 1;13.441.773;361;6;2;10;4
470;LJ Em Cruz Alta;RS III;GGL 1;13.409.975;362;6;0;9;0
183;SH Patio Mix Resende;RJ I;GGL 3;13.196.575;363;7;1;5;3
532;LJ de Sapucaia do Sul;RS II;GGL 1;13.072.389;364;6;0;6;0
268;SH Patio Pinda;SP VI;GGL 1;12.882.038;365;7;3;8;7
